,label,area,bbox_area,equivalent_diameter,convex_area,max_intensity,mean_intensity,min_intensity,extent,local_centroid-0,local_centroid-1,local_centroid-2,solidity,feret_diameter_max,standard_deviation_intensity,minor_axis_length,intermediate_axis_length,major_axis_length
0,1,16825.0,28566.0,31.792070795174173,18350.0,25560.0,11754.354234769688,3699.0,0.5889869075124273,10.58930163447251,13.241010401188706,23.96303120356612,0.9168937329700273,54.680892457969264,3045.5951378800823,25.155293462718667,26.092087771732384,54.309844664378055
1,2,54838.0,91988.0,47.13689756941517,57855.0,55624.0,14317.93170793975,1992.0,0.5961429751706744,12.485612166745687,25.474707319741785,29.50191473066122,0.9478523895946763,63.20601237224193,4912.203445511154,30.372853264719502,54.13550148415393,64.8215221834721
2,3,42991.0,75600.0,43.46366135988394,45823.0,55766.0,15110.811099997674,2940.0,0.5686640211640211,13.820660138168455,24.699471982507966,26.972040659672956,0.9381969753180717,64.93843238021688,5248.866112839587,33.47225010599363,43.826328339490196,60.92632923664556
3,4,385.0,680.0,9.025834565322066,432.0,18494.0,12395.077922077922,5027.0,0.5661764705882353,7.607792207792208,1.2311688311688311,4.21038961038961,0.8912037037037037,17.578395831246947,2726.0118291433455,4.652158022223473,9.525388316036183,18.64630571660899
4,5,36773.0,75400.0,41.25818762097084,39441.0,27219.0,11782.610882984798,2561.0,0.4877055702917772,13.186740271394774,24.736545835259566,24.65724852473282,0.9323546563221013,59.88321968631947,2666.804006623702,28.558873949721516,41.726009380082694,59.894569925045374
5,6,41249.0,73950.0,42.86849801289671,43405.0,34332.0,12029.225629712235,3272.0,0.5577958079783638,13.152512788188805,24.963029406773497,24.47252054595263,0.9503283031908766,58.728187440104094,2857.60409161966,31.068185303533994,43.176069076939584,59.773168807268625
6,7,15192.0,31680.0,30.728317142661147,16903.0,39738.0,13526.128225381779,3414.0,0.47954545454545455,14.979660347551343,21.261650868878355,13.08339915745129,0.8987753653197658,49.92995093127971,4051.6169600782664,23.35435689274639,29.885281120370703,46.54127022808422
7,8,2824.0,6498.0,17.537002209254815,3354.0,23378.0,11151.837818696884,4884.0,0.43459526008002464,8.451841359773372,20.710339943342778,2.4210339943342776,0.8419797257006559,39.84971769034255,2153.747896416296,8.523440829259343,19.13121032290195,40.21641183833617
8,9,26754.0,45849.0,37.1076427489164,27908.0,65298.0,17148.47200418629,2561.0,0.5835241771903422,15.386820662330866,25.689878149061823,17.10966584435972,0.9586498495055181,52.43090691567332,7625.006417460921,32.09631160738978,33.47964812916052,51.56946884362179
9,10,61565.0,126720.0,48.990486679760075,67980.0,44054.0,13542.1972874198,3509.0,0.4858349116161616,16.19161861447251,29.85615203443515,30.27822626492325,0.9056340100029421,68.36665854054884,4293.434524568723,32.916431919491345,51.97202567853248,70.28830506832892
10,11,37444.0,64170.0,41.50762375439279,41630.0,45903.0,11760.527801516932,4031.0,0.5835125448028674,14.627043050956095,18.645470569383612,24.263673752804188,0.8994475138121547,59.799665550904216,2561.502884331979,30.245422846112998,45.67004679884368,55.164137902624354
11,12,38448.0,68634.0,41.87534297048519,40759.0,34617.0,12255.219673325011,4220.0,0.5601888276947286,13.598730753225135,19.473418643362464,25.29673845193508,0.9433008660663903,58.12056434688156,2778.131684652111,32.1792330442431,39.09357961766188,59.978023804123794
12,13,50794.0,88920.0,45.94849214988658,54654.0,32910.0,13498.291766744103,3699.0,0.5712325686009897,13.245599874000867,26.833799267630035,28.504862779068393,0.9293738793134995,63.48228099241551,3780.248812892196,30.434754333026177,51.43458383733309,63.41944849683127
13,14,48410.0,85833.0,45.218083703871216,50457.0,47610.0,15101.087234042554,2750.0,0.5640021902997682,15.327081181574055,24.45482338359843,24.759285271638092,0.9594308024654656,56.3382640840131,5213.176607728864,32.796739592688304,52.00070491827772,54.65951831551571
14,15,40948.0,75888.0,42.76397077743807,44035.0,42394.0,12641.846146331933,2608.0,0.539584651064727,15.039049526228387,25.22799648334473,23.371055973429716,0.9298966731009425,55.17245689653489,3374.954479661191,32.076958937094425,45.28194966464266,54.81004669545156
15,16,4304.0,8640.0,20.181706226846213,4682.0,21624.0,11654.67936802974,5311.0,0.4981481481481482,11.866171003717472,2.8396840148698885,18.969563197026023,0.9192652712516018,41.012193308819754,2089.0261124273475,9.876196416836855,23.784739854579396,39.244920167044484
16,17,772.0,1292.0,11.381676197559203,850.0,22667.0,12994.961139896373,4505.0,0.5975232198142415,8.406735751295336,8.988341968911918,1.932642487046632,0.908235294117647,22.494443758403985,3342.197983928371,4.256683841873563,16.437554422308544,22.060217238712944
17,18,43314.0,75264.0,43.57224028695706,46147.0,39406.0,13347.961005679457,2987.0,0.5754942602040817,14.492057995105508,23.813155099967677,23.460659371104033,0.9386092270353436,52.09606511052442,3672.9291199217323,33.494887337670775,48.63342620210544,51.305564164448434
18,19,35997.0,55080.0,40.965905790267136,38900.0,35423.0,13577.54212851071,3414.0,0.6535403050108932,14.637525349334666,25.55801872378254,19.07845098202628,0.9253727506426735,55.263007518592396,3685.4902072239274,31.757902734518282,40.68787880020224,55.25790253886357
19,20,36277.0,76500.0,41.07184832980271,39528.0,36134.0,13394.911238525789,2987.0,0.4742091503267974,16.60989056426937,23.601565730352565,25.494445516442926,0.9177545031370168,53.563046963368315,3507.960303137174,31.4071668996637,46.5540645140286,49.32334157073486
20,21,53679.0,101639.0,46.802451092002244,57633.0,41113.0,14396.89925296671,3509.0,0.5281338856147738,17.471953650403325,17.764619311089998,32.153747275470856,0.9313934724897194,69.17369442208505,4532.734047861413,32.842902037839806,43.984832870883125,73.51901928407153
